"PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME"
"ILMN_2166457",-1.96816630241747,9.2498841268299,-18.4361711397772,1.5540262622422e-44,1.06507104262948e-41,90.7102562929681,"HPGD","15-hydroxyprostaglandin dehydrogenase"
"ILMN_1755954",-0.803370586233545,8.02021101915464,-18.4151636456032,1.78980093361057e-44,1.20913837357777e-41,90.5701682349865,"CPEB3","cytoplasmic polyadenylation element binding protein 3"
"ILMN_2389151",-1.09675206722689,11.3329906276753,-18.4082536443591,1.87494122861648e-44,1.24881648875033e-41,90.5240790657805,"UGP2","UDP-glucose pyrophosphorylase 2"
"ILMN_1682792",0.767438240406376,7.89002950178866,18.3851521248577,2.1901732552027e-44,1.43851796164633e-41,90.3699579942134,"BYSL","bystin like"
"ILMN_1712888",1.37865926706583,10.5582835755876,18.3659995022991,2.49143969771825e-44,1.61397511376844e-41,90.2421402266281,"HSPH1","heat shock protein family H (Hsp110) member 1"
"ILMN_1679176",-4.28649955415118,10.6540787198144,-18.303008550781,3.80758077697402e-44,2.43324993166353e-41,89.8214959270867,"CLCA4","chloride channel accessory 4"
"ILMN_1810423",1.00652994680432,9.15636485610309,18.2842269522346,4.32119519671865e-44,2.724657611371e-41,89.695996775782,"RPP40","ribonuclease P/MRP subunit p40"
"ILMN_1727200",0.977472519393611,7.31604862718041,18.2587132884287,5.13193436054019e-44,3.19327863039402e-41,89.5254563308514,"SLCO4A1","solute carrier organic anion transporter family member 4A1"
"ILMN_1682176",-1.7360245319021,8.22127715681443,-18.2047530726525,7.384354335994e-44,4.53514437076826e-41,89.1645540426046,"CLEC3B","C-type lectin domain family 3 member B"
"ILMN_1742577",0.818409644605286,10.309061077933,18.2019467317374,7.52549014506079e-44,4.56256960205032e-41,89.1457763431367,"GTPBP4","GTP binding protein 4"
"ILMN_2184556",-2.10314042032523,8.17219374949484,-18.1422689083567,1.12580712164574e-43,6.73916693450977e-41,88.7462746694282,"SLC4A4","solute carrier family 4 member 4"
"ILMN_1702973",1.37072693321145,7.30759825691753,18.1384321857308,1.15535513854972e-43,6.82959306275203e-41,88.7205782625719,"EVA1A","eva-1 homolog A, regulator of programmed cell death"
"ILMN_1796349",-1.92022726110013,10.2261699267165,-18.1149476088908,1.35394068410121e-43,7.90467345075877e-41,88.5632585457482,"SMPDL3A","sphingomyelin phosphodiesterase acid like 3A"
"ILMN_2192072",3.02105288938572,7.89790537757732,18.0629201762884,1.92436766307324e-43,1.10979691203333e-40,88.214539006652,"MMP7","matrix metallopeptidase 7"
"ILMN_1684086",-1.2122350173754,7.8413374979433,-18.0429101811442,2.20314559267927e-43,1.25526210937112e-40,88.0803484156443,"BDKRB2","bradykinin receptor B2"
"ILMN_1733156",-1.24129289697113,7.48788157396392,-18.0386293520526,2.26785427182259e-43,1.27674795850584e-40,88.0516352784296,NA,NA
"ILMN_1750101",1.29889624080763,9.69686913530928,18.0245116760316,2.49506246120995e-43,1.38813533871316e-40,87.9569298891485,"S100A11","S100 calcium binding protein A11"
"ILMN_1790136",1.13638152923933,9.33576241040722,18.0109086880443,2.73554513412586e-43,1.50423173712572e-40,87.8656586097799,"MRGBP","MRG domain binding protein"
"ILMN_1703205",-1.61510523418937,8.03859756423711,-18.0061593281978,2.8248685533988e-43,1.53549464241643e-40,87.8337877857417,"EDN3","endothelin 3"
"ILMN_1673711",0.9543275761927,10.9342064420619,17.9806179773616,3.3578315840977e-43,1.8044529046816e-40,87.6623532748627,"HSP90AB1","heat shock protein 90 alpha family class B member 1"
"ILMN_1689001",0.986365088605506,9.7996528800567,17.9640808650367,3.75554134412678e-43,1.9955005636377e-40,87.5513214818547,"CDK4","cyclin dependent kinase 4"
"ILMN_1715583",1.23817571368542,9.36882221749485,17.9253200506063,4.8827122917659e-43,2.56559404752899e-40,87.2909730090818,"BOP1","BOP1 ribosomal biogenesis factor"
"ILMN_1698259",-1.16143043158375,7.67198374329897,-17.8543475611715,7.89841011374129e-43,4.1045693876794e-40,86.8138875372673,"TMEM100","transmembrane protein 100"
"ILMN_1674302",0.899126717023207,8.11687692264949,17.8488264678202,8.19969051038438e-43,4.2148191764791e-40,86.7767537185751,"PPAT","phosphoribosyl pyrophosphate amidotransferase"
"ILMN_2337263",-2.12332418248129,8.69427388828866,-17.8131956907576,1.04411483298212e-42,5.309267790508e-40,86.5370375515069,"PKIB","cAMP-dependent protein kinase inhibitor beta"
"ILMN_2358886",-1.60977007540226,8.01417502420103,-17.7868131502028,1.24879660067572e-42,6.28250970701645e-40,86.3594632543851,"EDN3","endothelin 3"
"ILMN_1793410",1.1768263193088,7.96840188613918,17.7280131957168,1.86150286203599e-42,9.26636529954547e-40,85.9634572224843,"SNTB1","syntrophin beta 1"
"ILMN_1771026",0.916487118806641,10.5230052420567,17.7155963075241,2.02531623285477e-42,9.97679215121898e-40,85.8797900881031,"GARS1","glycyl-tRNA synthetase 1"
"ILMN_1705116",-1.38738355849605,9.0174013870567,-17.7046332597242,2.18191781774004e-42,1.06374117114357e-39,85.8059070987022,"SLC22A23","solute carrier family 22 member 23"
"ILMN_1796013",1.05026253499379,7.80445632954124,17.6619811396329,2.91558520562681e-42,1.40691861606216e-39,85.518355311062,"PYCR1","pyrroline-5-carboxylate reductase 1"
